"","date","title","content","source_name","language","length"
"1"," January 28, 2017","A Venezuela no le gusto trato de Vargas Lleras, manda nota de protesta","Este viernes la Cancillería de Venezuela lanzó un comunicado en el que se opone a las recientes declaraciones
dada por el vicepresidente Germán Vargas Lleras. El mandataria habría ´arremetido´ contra el país vecino, por
asegurar que las casas deben entregarse a los desplazados a la tercera edad y madres cabeza de familia por lo
que pidió a autoridades de la zona y a constructores que se tenga en cuenta que no sea para los venezolanos.

Por su parte el organismo encargado en Venezuela, aseguró: ""La República Bolivariana de Venezuela rechaza
categóricamente las denigrantes y ofensivas declaraciones del Vicepresidente de la República de Colombia,
Germán Vargas Lleras, contra el pueblo venezolano, emitidas en Tibú,departamento del Norte de Santander, que
expresan abiertamente odio, discriminación e intolerancia contra nuestros connacionales"".

En medio de una visita en Norte de Santander, el vicepresidente afirmó que ""Esto es para población desplazada,
pero que viva en Tibú, ( ) por nada del mundo, esto no es para los venecos"". La advertencia se dio entre los
alcaldes y gobernadores de la zona, con el fin se asegurarse que no se diera este tipo de subsidios a ciudadanos
venezolanos.

Igualmente la cancillería indicó en el comunicado que: ""Es reprochable que existiendo relaciones fraternas entre
nuestros pueblos, la oligarquía colombiana arremeta sistemáticamente contra el pueblo venezolano y su digno
gentilicio.""","El Espectador (Colombia)"," SPANISH","237 words"
"2"," January 28, 2017","A Venezuela no le gustó trato de Vargas Lleras, manda nota de protesta","Este viernes la Cancillería de Venezuela lanzó un comunicado en el que se opone a las recientes declaraciones
dada por el vicepresidente Germán Vargas Lleras. El mandataria habría ´arremetido´ contra el país vecino, por
asegurar que las casas deben entregarse a los desplazados a la tercera edad y madres cabeza de familia por lo
que pidió a autoridades de la zona y a constructores que se tenga en cuenta que no sea para los venezolanos.

Por su parte el organismo encargado en Venezuela, aseguró: ""La República Bolivariana de Venezuela rechaza
categóricamente las denigrantes y ofensivas declaraciones del Vicepresidente de la República de Colombia,
Germán Vargas Lleras, contra el pueblo venezolano, emitidas en Tibú,departamento del Norte de Santander, que
expresan abiertamente odio, discriminación e intolerancia contra nuestros connacionales"".

En medio de una visita en Norte de Santander, el vicepresidente afirmó que ""Esto es para población desplazada,
pero que viva en Tibú, ( ) por nada del mundo, esto no es para los venecos"". La advertencia se dio entre los
alcaldes y gobernadores de la zona, con el fin se asegurarse que no se diera este tipo de subsidios a ciudadanos
venezolanos.

Igualmente la cancillería indicó en el comunicado que: ""Es reprochable que existiendo relaciones fraternas entre
nuestros pueblos, la oligarquía colombiana arremeta sistemáticamente contra el pueblo venezolano y su digno
gentilicio.""","El Espectador (Colombia)"," SPANISH","237 words"
"3"," January 17, 2017","Abren 8 casas de cambio en la frontera colombo-venezolana","En su primera alocución anual en el Tribunal Supremo de Justicia, el presidente de Venezuela, Nicolás Maduro,
anunció que desde hoy empezarán a funcionar las primeras ocho casas de cambio en territorio fronterizo con
Colombia.

""He decidido, en el marco del decreto de emergencia y de la zona económica especial, autorizar la creación de
casas de cambio en la frontera colombo-venezolana para hacerle frente a las mafias que operan en la zona"",
añadió Maduro.

Según el mandatario, el objetivo de esta nueva medida es permitir la convertibilidad del peso en bolívares y
generar mecanismos financieros en función de ir construyendo una frontera económicamente sustentable.

Los encargados de explicar el funcionamiento y la dinámica de los locales serán el vicepresidente ejecutivo, Tareck
El Aissami, y el ministro de Economía, Ramón Lobo. Quien en su cuenta de twitter celebró la inauguración de las
casas de cambio y aseguró que estaban tomando decisiones para ""crear nuevas fronteras de paz para relaciones
de hermandad con Colombia"".

Esta medida estará acompañada de un sistema de tiendas que funcionarán en pesos colombianos. Sin embargo,
para Yolanda Olarte, vicepresidenta de Asocambios en Cúcuta y Norte de Santander, la decisión del gobierno
venezolano no generará ninguna transformación positiva en la frontera. ""Venezuela no tiene cómo reconvertir toda
la cantidad de divisas que vienen hacia Colombia. Las casas de cambio no son la solución, debería haber una
política económica financiera de fondo para enfrentar los problemas reales de la frontera"".","El Espectador (Colombia)"," SPANISH","259 words"
"4"," January 17, 2017","Abrirán 8 casas de cambio en la frontera colombo-venezolana","En su primera alocución anual en el Tribunal Supremo de Justicia, el presidente de Venezuela, Nicolás Maduro,
anunció que desde hoy empezarán a funcionar las primeras ocho casas de cambio en territorio fronterizo con
Colombia.

""He decidido, en el marco del decreto de emergencia y de la zona económica especial, autorizar la creación de
casas de cambio en la frontera colombo-venezolana para hacerle frente a las mafias que operan en la zona"",
añadió Maduro.

Según el mandatario, el objetivo de esta nueva medida es permitir la convertibilidad del peso en bolívares y
generar mecanismos financieros en función de ir construyendo una frontera económicamente sustentable.

Los encargados de explicar el funcionamiento y la dinámica de los locales serán el vicepresidente ejecutivo, Tareck
El Aissami, y el ministro de Economía, Ramón Lobo. Quien en su cuenta de twitter celebró la inauguración de las
casas de cambio y aseguró que estaban tomando decisiones para ""crear nuevas fronteras de paz para relaciones
de hermandad con Colombia"".

Esta medida estará acompañada de un sistema de tiendas que funcionarán en pesos colombianos. Sin embargo,
para Yolanda Olarte, vicepresidenta de Asocambios en Cúcuta y Norte de Santander, la decisión del gobierno
venezolano no generará ninguna transformación positiva en la frontera. ""Venezuela no tiene cómo reconvertir toda
la cantidad de divisas que vienen hacia Colombia. Las casas de cambio no son la solución, debería haber una
política económica financiera de fondo para enfrentar los problemas reales de la frontera"".","El Espectador (Colombia)"," SPANISH","259 words"
"5"," April 30, 2017","Adiós a un amigo muerto en Venezuela","""Unas veces se gana, otras se pierde, pero esta vez, no estoy dispuesto a perder. TE AMO VENEZUELA"". Estas
fueron las palabras de Juan Pablo Pernalete Llovera en un post del 15 de abril en su cuenta de Twitter. Con el
mayor dolor del mundo me toca decir que el 26 de abril de 2017 Venezuela lo perdió a él.

Soy un estudiante universitario venezolano al que hace tres años Colombia le abrió las puertas para escapar de la
situación que padece mi país. Precisamente para escapar de lo que le sucedió a quien conocí y podía llamar
amigo: Pernalete, una muerte trágica, injusta y penosa ocasionada por la brutal represión del régimen del
presidente Nicolás Maduro. Pernalete murió por el simple hecho de ejercer su legítimo derecho a manifestar
pacíficamente.

En este momento de profundo dolor quiero decir lo que siento y mostrarle al mundo lo que está ocurriendo en
Venezuela y, quizás, pensar que de una u otra manera la partida injusta y precoz de otro venezolano más no sea
en vano.

Ser tan joven y que en el grupo de Whatsapp de tus amigos digan: ""Mataron a Pernalete en Altamira"" es uno de los
momentos más tristes por los que he podido pasar. Era un muchacho de tan sólo 20 años, estudiante de la
Universidad Metropolitana y jugador del equipo de basquetbol de la universidad. Un joven solidario que cuidaba y
alimentaba perros de la calle sin ningún apoyo institucional ni económico.

Todos sabíamos que manifestarse contra un régimen como el de Nicolás Maduro, a quien no le importan sus
ciudadanos, causaría la muerte de algunas personas.

Sin embargo, cuando es alguien que has conocido, simplemente no existen palabras para explicarlo. El impacto
emocional es inmanejable. Además, desde la distancia, los sentimientos que me invaden están cargados de rabia,
ira, mucha impotencia y frustración. No obstante, la impotencia y la frustración no pueden oscurecer la esperanza.

Se necesita aprovechar esta oportunidad para surgir de las cenizas y la melancolía robustecidos y con mucha más
fuerza para luchar y salvar el país que todos amamos. Agradezco desde lo más profundo de mi corazón a cada
uno de los venezolanos que sale a las manifestaciones con un miedo paralizante, porque lo que pasó a Pernalete
le puede ocurrir a cualquiera, pero siguen creyendo que somos mucho mejores que estos últimos 20 años y que
Venezuela sí vale la pena. Me gustaría decirles que son los futuros héroes de nuestra historia.

Hago un llamado a todas las personas, en Venezuela, Colombia y en el mundo entero, a que se involucren de una
u otra manera porque esta situación, desde una perspectiva humana, nos afecta a todos. Además, me rehúso a
pensar que, como ha pasado anteriormente, las vidas arrebatadas de venezolanos resultarán en simples mártires
de una causa inocua.

                                                                                                  Page 2 of 2
                                    Adiós a un amigo muerto en Venezuela

Esto tiene que acabar. Pernalete y todos los demás son el nuevo motor de nuestra búsqueda por la libertad y son
el ejemplo del amor más profundo por su país. Pernalete, te recordaré siempre.

Eduardo Ismael Rodríguez Guzmán

* Estudiante venezolano en Colombia.Sección:Columnista:Redes Sociales:http://tinyurl.com/lfh34s7Contenido
adulto:","El Espectador (Colombia)"," SPANISH","514 words"
"6"," January 9, 2017","Bogotana muere después de practicarse una cirugía estética en Venezuela","El mismo día de su cumpleaños, el pasado 6 de enero, Shirley Alexandra Riaño decidió hacer maletas y arrancar
hacia San Cristóbal, Venezuela. Unas vecinas del barrio Torremolinos, en la localidad de Puente Aranda, le
comentaron que en esta ciudad había un centro donde realizaban intervenciones quirúrgicas a muy bajo costo y de
buena calidad: Doctor Mora y Asociados.

La mujer de 30 años, quien era esteticista, quería mejorar su figura antes de viajar a Estados Unidos, donde viviría
junto a una tía. Como estaba ahorrando para su nueva vida, el precio de las intervenciones le pareció una
oportunidad imperdible. Además, creyó que el sitio era confiable, pues sus conocidas estaban satisfechas con sus
intervenciones.

Llamó a los encargados del lugar y armó el plan para que le practicaran la rinoplastia y la liposucción que tanto
anhelaba. La cita quedó para el 7 de enero. Shirley le pidió a un primo de 19 años que la acompañara y juntos
tomaron un bus hasta la frontera, donde fueron recogidos por personas del centro estético.

Ayer entró a cirugía a las 7:00 a.m. y, según cuentan su familia, salió viva: ""Ella supuestamente estaba bien, pero
luego su salud empezó a decaer. Aseguró que no podía respirar bien y después de eso sufrió un paro
cardiorrespiratorio"", cuenta Alejandra Castro, familiar de Shirley.

La familia se enteró de su fallecimiento a la 1:00 p.m. Los médicos llamaron a su tía para advertirle que enviarían
al cuerpo, junto con el acompañante, en un carro fúnebre hasta Cúcuta. Cuando solicitaron explicaciones y una
investigación de las autoridades, los encargados del centro le respondieron que no era necesario.

""A partir de ese momento empezamos a ver las irregularidades. Luego el primo que la acompañaba nos contó que
el lugar tiene la fachada de una odontología y que no le permiten llamarnos con frecuencia"", agrega Castro.

La preocupación aumentó cuando intentaron indagar por internet sobre el lugar y sólo encontraron una dirección:
Avenida España.

Los familiares llamaron a las autoridades venezolanas y reportaron el caso. Ahora el cuerpo se encuentra en la
morgue de Venezuela y la familia está a la espera de los resultados de la investigación.

La Cancillería colombiana ya asumió el caso.","El Espectador (Colombia)"," SPANISH","370 words"
"7"," February 1, 2017","Cali , Patriotas y Tolima ya conocen sus rivales de la Copa Sudamericana","La Confederación Sudamericana de Fútbol realizó la noche del martes en Asunción el sorteo de la 'nueva' Copa
Sudamericana que arrancará el 28 de febrero y se prolongará hasta el 13 de diciembre con la participación de 54
equipos de la región.

Entre los equipos que disputarán el torneo habrá diez que provendrán de la Copa Libertadores de América, los dos
mejores perdedores de la tercera fase clasificatoria y los ocho terceros de la fase de grupos.

El vencedor de la Sudamericana obtendrá una plaza directa para la fase de grupos de la Copa Libertadores de
2018. Además jugará la Recopa Sudamericana 2018 contra el campeón de la Copa Libertadores 2017, y la Copa
Suruga Bank 2018 frente al vencedor de la Copa J. League (Liga japonesa).

En la nueva Copa Sudamericana, ""la nueva niña bonita de la Conmebol"" según su presidente, Alejandro
Domínguez, participarán en principio seis equipos de Brasil y de Argentina y cuatro representantes de cada uno del
resto de las ocho asociaciones miembros de la Conmebol.

En la primera fase se enfrentarán en partidos eliminatorios de ida y vuelta 44 equipos clasificados.

A los 22 ganadores de estas llaves se sumarán los 10 equipos procedentes de la Libertadores. Estos 32 conjuntos
se enfrentarán en la segunda ronda, dieciseisavos de final. Por sorteo a realizarse el 2 de junio quedarán definidos
los cruces de dicha instancia.

Para determinar los cruces de la primera fase se dividieron a los 10 países de la Conmebol en dos zonas
geográficas a fin de evitar enfrentamientos entre equipos del mismo país.

El ""Sur"" está integrado por representantes de las asociaciones de Argentina (seis), Bolivia (cuatro), Chile (cuatro),
Paraguay (cuatro) y Uruguay (cuatro). El ""Norte"" está compuesto por los equipos de Brasil (seis), Colombia
(cuatro), Ecuador (cuatro), Perú (cuatro) y Venezuela (cuatro).

El nuevo esquema establece que un mismo equipo no podrá clasificar a la Libertadores y la Copa Sudamericana
del mismo año.

Los partidos de la primera fase son los siguientes:

Nacional de Potosí (Bolivia) - Sport Huancayo (Perú)

Deportivo Cali (Colombia) - Sportivo Luqueño (Paraguay)

                                                                                                Page 2 of 2
                     Cali , Patriotas y Tolima ya conocen sus rivales de la Copa Sudamericana

Club Petrolero (Bolivia) - Universidad Católica (Ecuador)

Liga de Quito (Ecuador) - Defensor Sporting (Uruguay)

Everton (Chile) - Patriotas (Colombia)

Estudiantes de Caracas (Venezuela) - Sol de América (Paraguay)

Cerro Porteño (Paraguay) - Caracas FC (Venezuela)

Deportivo Anzoategui (Venezuela) - Huracán (Argentina)

Oriente Petrolero (Bolivia) - Deportivo Cuenca (Ecuador)

Corinthians (Brasil) - Universidad de Chile

Independiente (Argentina) - Alianza Lima (Perú)

Ponte Preta (Brasil) - Gimnasia y Esgrima de la Plata (Argentina)

Boston River (Uruguay) - Comerciantes Unidos (Perú)

Juan Aurich (Perú) - Arsenal de Sarandí (Argentina)

O'Higgins Chile) vs Fuerza Amarilla (Ecuador)

Deportes Tolima (Colombia) - Bolívar (Bolivia)

Palestino (Chile) - Atlético Venezuela (Venezuela)

Sport Recife (Brasil) - Danubio (Uruguay)

Rácing Club (Argentina) - Río Negro Aguilas (Colombia)

Cruzeiro (Brasil) - Nacional (Paraguay)

Defensa y Justicia (Argentina) - Sao Paulo (Brasil)

Liverpool (Uruguay) - Fluminense (Brasil)","El Espectador (Colombia)"," SPANISH","517 words"
"8"," February 1, 2017","Cali , Rionegro, Patriotas y Tolima ya conocen sus rivales de la Copa Sudamericana","La Confederación Sudamericana de Fútbol realizó la noche del martes en Asunción el sorteo de la 'nueva' Copa
Sudamericana que arrancará el 28 de febrero y se prolongará hasta el 13 de diciembre con la participación de 54
equipos de la región.

Entre los equipos que disputarán el torneo habrá diez que provendrán de la Copa Libertadores de América, los dos
mejores perdedores de la tercera fase clasificatoria y los ocho terceros de la fase de grupos.

El vencedor de la Sudamericana obtendrá una plaza directa para la fase de grupos de la Copa Libertadores de
2018. Además jugará la Recopa Sudamericana 2018 contra el campeón de la Copa Libertadores 2017, y la Copa
Suruga Bank 2018 frente al vencedor de la Copa J. League (Liga japonesa).

En la nueva Copa Sudamericana, ""la nueva niña bonita de la Conmebol"" según su presidente, Alejandro
Domínguez, participarán en principio seis equipos de Brasil y de Argentina y cuatro representantes de cada uno del
resto de las ocho asociaciones miembros de la Conmebol.

En la primera fase se enfrentarán en partidos eliminatorios de ida y vuelta 44 equipos clasificados.

A los 22 ganadores de estas llaves se sumarán los 10 equipos procedentes de la Libertadores. Estos 32 conjuntos
se enfrentarán en la segunda ronda, dieciseisavos de final. Por sorteo a realizarse el 2 de junio quedarán definidos
los cruces de dicha instancia.

Para determinar los cruces de la primera fase se dividieron a los 10 países de la Conmebol en dos zonas
geográficas a fin de evitar enfrentamientos entre equipos del mismo país.

El ""Sur"" está integrado por representantes de las asociaciones de Argentina (seis), Bolivia (cuatro), Chile (cuatro),
Paraguay (cuatro) y Uruguay (cuatro). El ""Norte"" está compuesto por los equipos de Brasil (seis), Colombia
(cuatro), Ecuador (cuatro), Perú (cuatro) y Venezuela (cuatro).

El nuevo esquema establece que un mismo equipo no podrá clasificar a la Libertadores y la Copa Sudamericana
del mismo año.

Los partidos de la primera fase son los siguientes:

Nacional de Potosí (Bolivia) - Sport Huancayo (Perú)

                                                                                                    Page 2 of 2
               Cali , Rionegro, Patriotas y Tolima ya conocen sus rivales de la Copa Sudamericana

Deportivo Cali (Colombia) - Sportivo Luqueño (Paraguay)

Club Petrolero (Bolivia) - Universidad Católica (Ecuador)

Liga de Quito (Ecuador) - Defensor Sporting (Uruguay)

Everton (Chile) - Patriotas (Colombia)

Estudiantes de Caracas (Venezuela) - Sol de América (Paraguay)

Cerro Porteño (Paraguay) - Caracas FC (Venezuela)

Deportivo Anzoategui (Venezuela) - Huracán (Argentina)

Oriente Petrolero (Bolivia) - Deportivo Cuenca (Ecuador)

Corinthians (Brasil) - Universidad de Chile

Independiente (Argentina) - Alianza Lima (Perú)

Ponte Preta (Brasil) - Gimnasia y Esgrima de la Plata (Argentina)

Boston River (Uruguay) - Comerciantes Unidos (Perú)

Juan Aurich (Perú) - Arsenal de Sarandí (Argentina)

O'Higgins Chile) vs Fuerza Amarilla (Ecuador)

Deportes Tolima (Colombia) - Bolívar (Bolivia)

Palestino (Chile) - Atlético Venezuela (Venezuela)

Sport Recife (Brasil) - Danubio (Uruguay)

Rácing Club (Argentina) - Río Negro Aguilas (Colombia)

Cruzeiro (Brasil) - Nacional (Paraguay)

Defensa y Justicia (Argentina) - Sao Paulo (Brasil)

Liverpool (Uruguay) - Fluminense (Brasil)","El Espectador (Colombia)"," SPANISH","517 words"
"9"," February 1, 2017","Colombia , clasificado como país 'parcialmente libre' según informe","Colombia fue clasificado como un país ""parcialmente libre""en el informe anual de la organización Freedom House
publicado este martes. Según el organismo, el acuerdo de paz con las Farcofreció un ""bienvenido contrapunto"" al
""colapso económico y político"" de Venezuela.

El acuerdo de paz es un ""buen presagio"" para una democracia ""dañada durante mucho tiempo por la violencia"",
dice el documento, que enmarca a Venezuela,por primera vez, como un país ""no libre"",mientras que en 2016 la
libertad cayó en Nicaragua a su nivel más bajo en más de 20 años.

""La combinación de gobierno de mano dura y extrema mala gestión económica del presidente venezolano, Nicolás
Maduro, empujó a su país al estatus de 'no libre' por primera vez en 2016"", concluye el documento, que será
presentado hoy en la sede de la entidad en Washington.

""Venezuela ha servido como modelo para los regímenes populistas en la región, pero hoy es el epítome del
sufrimiento que puede ocurrir cuando los ciudadanos no tienen la posibilidad de hacer que sus líderes rindan
cuentas"", señala.

En 2016, Maduro, ""confiando en el control que tiene el régimen sobre los tribunales"", respondió a la victoria de la
oposición en las elecciones parlamentarias ""quitándole poder a la asamblea legislativa y bloqueando el referendo
revocatorio presidencial, con lo que impidió el único camino a un cambio ordenado de liderazgo"".

El ""similar régimen"" del presidente de Nicaragua, Daniel Ortega, llevó en 2016 al país a su nivel más bajo de
libertad en más de 20 años.

""Habiendo puesto al poder judicial a su favor y reducido los medios independientes, Ortega pudo casi eliminar a la
oposición en las elecciones presidenciales y legislativas"", indica el informe.

Nicaragua, que se mantiene como ""parcialmente libre"" en la clasificación de Freedom House, sufrió en 2016 un
declive de los derechos políticos y de las libertades civiles ""al expulsar la justicia al líder del principal partido
opositor y por la expulsión de 16 legisladores de la oposición en la Asamblea Nacional antes de las elecciones de
noviembre"".

Y esto ""combinado con los esfuerzos del Gobierno para silenciar a periodistas y académicos con opiniones
contrarias"".

En Brasil -clasificado como ""libre""-, la destitución de la presidenta Dilma Rousseff ""dominó la escena política"" en
2016.

                                                                                                       Page 2 of 2
                        Colombia , clasificado como país 'parcialmente libre' según informe

""Como quiera que sea que la historia juzgue la destitución en sí misma, el proceso obstaculizó el funcionamiento
del gobierno al absorber la atención ejecutiva y legislativa durante meses, e hizo muy poco para resolver la más
amplia crisis de corrupción en la que prácticamente la entera clase política enfrentó alegaciones de soborno, tráfico
de influencias y malversación"", apunta.

Sobre Cuba -clasificado como ""no libre""-, los expertos de Freedom House consideran que ""la apertura política
parece lejana a pesar de la muerte de Fidel Castro y de dos años de deshielo con Estados Unidos"".

En Ecuador, que se mantiene como ""parcialmente libre"", empeoraron las libertades civiles en 2016 y el próximo
mes habrá elecciones para escoger al sustituto de Rafael Correa, cuya ""mano dura con la oposición política, los
periodistas críticos, los manifestantes y las ONG ha llevado un declive sostenido en la libertad durante su
mandato"".","El Espectador (Colombia)"," SPANISH","537 words"
"10"," January 31, 2017","Colombia salvó un empate ante Venezuela en el Sudamericano Sub-20","La Selección Colombia se sacudió, a pesar de perder al defensor a Carlos Cuesta por tarjeta roja, de la mano de
Juan Camilo Hernández logró empatar un partido que se complicó. Fue un 1-1 contra Venezuela para empezar el
camino en el hexagonal final del Sudamericano sub-20, que se está llevando a cabo en Ecuador.

Colombia inició bien parada el partido ante Venezuela. Intentó tener la posesión del balón, pero con la ausencia de
Juan Camilo Hernández y Juan Pablo Ramírez, por decisión técnica, no hubo ideas. Los dirigidos por el 'Piscis'
Restrepo intentaron sorprender por las bandas y fue por ahí que llegaron las dos opciones más importantes, pero
en ambas respondió el arquero venezolano Wuilker Fariñez.

Aunque fue el seleccionado nacional el que tuvo las opciones e intentaba mantener el balón, Venezuela
aprovechó la única opción clara que tuvo en el primer tiempo para celebrar. El árbitro Jonhatan Fuentes cobró una
mano de Carlos Cuesta cerca al área colombiana, Yeferson Soteldo se encargó de cobrar el tiro libre, que superó
la barrera y se coló cerca al palo superior de la portería defendida por Manuel Arias.

Ese gol confundió a Colombia. Perdió la tenencia del balón, no volvió a acercarse a portería de Fariñez. Tan solo
finalizando el primer tiempo lograron rematar a la portería rival, con un tiro libre. Así se terminó el primer tiempo.
Con el seleccionado tricolor con más dudas que certezas.

En la segunda parte, 'Piscis' Restrepo le dio ingreso a Juan Camilo Hernández y a Juan Pablo Ramírez. Las cosas
cambiaron para el seleccionado nacional, fue más agresivo y aprovechó que Venezuela se metió atrás para
buscar hacerle daño. Al comienzo buscaron con salidas por las bandas, pero los centros no tenían destinatario.

A partir de ahí, la responsabilidad la tomó Hernández. El jugador, que este semestre jugará con América de Cali,
intentó echarse el equipo al hombre y fue el más incisivo de la mitad de cancha para arriba. Remates de media
distancia, desbordes por zona derecha, lo intentó todo, pero no pudo hacer mucho para superar el cerco vinotinto.

Fue hasta el minuto 85, que tras un pase profundo y un encontronazo con el arquero venezolano de Hernández,
que el árbitro pitó como penal, que el mismo jugador se encargó de cobrar para marcar el empate. Penal discutido,
gol de Colombia y 1-1. Los del 'Piscis' salvaron al final la papeleta en su debut en el hexagonal final.

El próximo encuentro será contra la Selección Argentina, partido a disputarse el 2 de febrero a partir de las 4:00
p.m. Por su parte, Venezuela jugará ante Ecuador, en el partido de cierre de la segunda fecha del hexagonal final.","El Espectador (Colombia)"," SPANISH","438 words"
